Currency Code|Conversion Rate|Base Currency|Conversion Date|Load Timestamp
MYR|4.2669902913|USD|2020-06-05|2020-06-06 22:19:03.495843
BGN|1.7262135922|USD|2020-06-05|2020-06-06 22:19:03.495848
TRY|6.7737864078|USD|2020-06-05|2020-06-06 22:19:03.495852
CNY|7.0917034422|USD|2020-06-05|2020-06-06 22:19:03.495856
NOK|9.3030008826|USD|2020-06-05|2020-06-06 22:19:03.495861
NZD|1.5350397176|USD|2020-06-05|2020-06-06 22:19:03.495865
ZAR|16.8422771403|USD|2020-06-05|2020-06-06 22:19:03.495869
USD|1.0|USD|2020-06-05|2020-06-06 22:19:03.495873
MXN|21.7533980583|USD|2020-06-05|2020-06-06 22:19:03.495878
SGD|1.392321271|USD|2020-06-05|2020-06-06 22:19:03.495882
AUD|1.4322153575|USD|2020-06-05|2020-06-06 22:19:03.495887
ILS|3.4573698147|USD|2020-06-05|2020-06-06 22:19:03.495891
KRW|1205.2691968226|USD|2020-06-05|2020-06-06 22:19:03.495895
PLN|3.9210061783|USD|2020-06-05|2020-06-06 22:19:03.495900
CAD|1.3448367167|USD|2020-06-05|2020-06-06 22:19:58.282619
HKD|7.7501323919|USD|2020-06-05|2020-06-06 22:19:58.282641
ISK|131.4210061783|USD|2020-06-05|2020-06-06 22:19:58.282647
PHP|49.8296557811|USD|2020-06-05|2020-06-06 22:19:58.282651
DKK|6.5811120918|USD|2020-06-05|2020-06-06 22:19:58.282656
HUF|304.1659311562|USD|2020-06-05|2020-06-06 22:19:58.282661
CZK|23.4677846425|USD|2020-06-05|2020-06-06 22:19:58.282665
GBP|0.7894792586|USD|2020-06-05|2020-06-06 22:19:58.282670
RON|4.2702559576|USD|2020-06-05|2020-06-06 22:19:58.282674
SEK|9.2012356575|USD|2020-06-05|2020-06-06 22:19:58.282679
IDR|14018.0052956752|USD|2020-06-05|2020-06-06 22:19:58.282684
INR|75.5781112092|USD|2020-06-05|2020-06-06 22:19:58.282688
BRL|5.059929391|USD|2020-06-05|2020-06-06 22:19:58.282692
RUB|68.6809355693|USD|2020-06-05|2020-06-06 22:19:58.282697
HRK|6.6827007944|USD|2020-06-05|2020-06-06 22:19:58.282701
JPY|109.2409532215|USD|2020-06-05|2020-06-06 22:19:58.282706
THB|31.4651368049|USD|2020-06-05|2020-06-06 22:19:58.282710
CHF|0.9590467785|USD|2020-06-05|2020-06-06 22:19:58.282714
EUR|0.8826125331|USD|2020-06-05|2020-06-06 22:19:58.282719
MYR|4.2669902913|USD|2020-06-05|2020-06-06 22:19:58.282723
BGN|1.7262135922|USD|2020-06-05|2020-06-06 22:19:58.282727
TRY|6.7737864078|USD|2020-06-05|2020-06-06 22:19:58.282731
CNY|7.0917034422|USD|2020-06-05|2020-06-06 22:19:58.282736
NOK|9.3030008826|USD|2020-06-05|2020-06-06 22:19:58.282740
NZD|1.5350397176|USD|2020-06-05|2020-06-06 22:19:58.282744
ZAR|16.8422771403|USD|2020-06-05|2020-06-06 22:19:58.282748
USD|1.0|USD|2020-06-05|2020-06-06 22:19:58.282753
MXN|21.7533980583|USD|2020-06-05|2020-06-06 22:19:58.282757
SGD|1.392321271|USD|2020-06-05|2020-06-06 22:19:58.282761
AUD|1.4322153575|USD|2020-06-05|2020-06-06 22:19:58.282766
ILS|3.4573698147|USD|2020-06-05|2020-06-06 22:19:58.282770
KRW|1205.2691968226|USD|2020-06-05|2020-06-06 22:19:58.282774
PLN|3.9210061783|USD|2020-06-05|2020-06-06 22:19:58.282779
CAD|1.3448367167|USD|2020-06-05|2020-06-06 23:00:01.975117
HKD|7.7501323919|USD|2020-06-05|2020-06-06 23:00:01.975173
ISK|131.4210061783|USD|2020-06-05|2020-06-06 23:00:01.975191
PHP|49.8296557811|USD|2020-06-05|2020-06-06 23:00:01.975198
DKK|6.5811120918|USD|2020-06-05|2020-06-06 23:00:01.975205
HUF|304.1659311562|USD|2020-06-05|2020-06-06 23:00:01.975212
CZK|23.4677846425|USD|2020-06-05|2020-06-06 23:00:01.975219
GBP|0.7894792586|USD|2020-06-05|2020-06-06 23:00:01.975240
RON|4.2702559576|USD|2020-06-05|2020-06-06 23:00:01.975248
SEK|9.2012356575|USD|2020-06-05|2020-06-06 23:00:01.975256
IDR|14018.0052956752|USD|2020-06-05|2020-06-06 23:00:01.975263
INR|75.5781112092|USD|2020-06-05|2020-06-06 23:00:01.975270
BRL|5.059929391|USD|2020-06-05|2020-06-06 23:00:01.975277
RUB|68.6809355693|USD|2020-06-05|2020-06-06 23:00:01.975284
HRK|6.6827007944|USD|2020-06-05|2020-06-06 23:00:01.975291
JPY|109.2409532215|USD|2020-06-05|2020-06-06 23:00:01.975298
THB|31.4651368049|USD|2020-06-05|2020-06-06 23:00:01.975305
CHF|0.9590467785|USD|2020-06-05|2020-06-06 23:00:01.975313
EUR|0.8826125331|USD|2020-06-05|2020-06-06 23:00:01.975320
MYR|4.2669902913|USD|2020-06-05|2020-06-06 23:00:01.975327
BGN|1.7262135922|USD|2020-06-05|2020-06-06 23:00:01.975334
TRY|6.7737864078|USD|2020-06-05|2020-06-06 23:00:01.975341
CNY|7.0917034422|USD|2020-06-05|2020-06-06 23:00:01.975348
NOK|9.3030008826|USD|2020-06-05|2020-06-06 23:00:01.975355
NZD|1.5350397176|USD|2020-06-05|2020-06-06 23:00:01.975361
ZAR|16.8422771403|USD|2020-06-05|2020-06-06 23:00:01.975369
USD|1.0|USD|2020-06-05|2020-06-06 23:00:01.975377
MXN|21.7533980583|USD|2020-06-05|2020-06-06 23:00:01.975385
SGD|1.392321271|USD|2020-06-05|2020-06-06 23:00:01.975392
AUD|1.4322153575|USD|2020-06-05|2020-06-06 23:00:01.975399
ILS|3.4573698147|USD|2020-06-05|2020-06-06 23:00:01.975406
KRW|1205.2691968226|USD|2020-06-05|2020-06-06 23:00:01.975414
PLN|3.9210061783|USD|2020-06-05|2020-06-06 23:00:01.975421
CAD|1.3448367167|USD|2020-06-05|2020-06-07 00:00:02.456441
HKD|7.7501323919|USD|2020-06-05|2020-06-07 00:00:02.456483
ISK|131.4210061783|USD|2020-06-05|2020-06-07 00:00:02.456494
PHP|49.8296557811|USD|2020-06-05|2020-06-07 00:00:02.456504
DKK|6.5811120918|USD|2020-06-05|2020-06-07 00:00:02.456513
HUF|304.1659311562|USD|2020-06-05|2020-06-07 00:00:02.456523
CZK|23.4677846425|USD|2020-06-05|2020-06-07 00:00:02.456532
GBP|0.7894792586|USD|2020-06-05|2020-06-07 00:00:02.456561
RON|4.2702559576|USD|2020-06-05|2020-06-07 00:00:02.456571
SEK|9.2012356575|USD|2020-06-05|2020-06-07 00:00:02.456581
IDR|14018.0052956752|USD|2020-06-05|2020-06-07 00:00:02.456591
INR|75.5781112092|USD|2020-06-05|2020-06-07 00:00:02.456600
BRL|5.059929391|USD|2020-06-05|2020-06-07 00:00:02.456609
RUB|68.6809355693|USD|2020-06-05|2020-06-07 00:00:02.456619
HRK|6.6827007944|USD|2020-06-05|2020-06-07 00:00:02.456628
JPY|109.2409532215|USD|2020-06-05|2020-06-07 00:00:02.456637
THB|31.4651368049|USD|2020-06-05|2020-06-07 00:00:02.456647
CHF|0.9590467785|USD|2020-06-05|2020-06-07 00:00:02.456656
EUR|0.8826125331|USD|2020-06-05|2020-06-07 00:00:02.456666
MYR|4.2669902913|USD|2020-06-05|2020-06-07 00:00:02.456675
BGN|1.7262135922|USD|2020-06-05|2020-06-07 00:00:02.456685
TRY|6.7737864078|USD|2020-06-05|2020-06-07 00:00:02.456694
CNY|7.0917034422|USD|2020-06-05|2020-06-07 00:00:02.456704
NOK|9.3030008826|USD|2020-06-05|2020-06-07 00:00:02.456714
NZD|1.5350397176|USD|2020-06-05|2020-06-07 00:00:02.456723
ZAR|16.8422771403|USD|2020-06-05|2020-06-07 00:00:02.456733
USD|1.0|USD|2020-06-05|2020-06-07 00:00:02.456743
MXN|21.7533980583|USD|2020-06-05|2020-06-07 00:00:02.456753
SGD|1.392321271|USD|2020-06-05|2020-06-07 00:00:02.456762
AUD|1.4322153575|USD|2020-06-05|2020-06-07 00:00:02.456772
ILS|3.4573698147|USD|2020-06-05|2020-06-07 00:00:02.456782
KRW|1205.2691968226|USD|2020-06-05|2020-06-07 00:00:02.456791
PLN|3.9210061783|USD|2020-06-05|2020-06-07 00:00:02.456801
CAD|1.3448367167|USD|2020-06-05|2020-06-07 01:00:02.134193
HKD|7.7501323919|USD|2020-06-05|2020-06-07 01:00:02.134212
ISK|131.4210061783|USD|2020-06-05|2020-06-07 01:00:02.134217
PHP|49.8296557811|USD|2020-06-05|2020-06-07 01:00:02.134221
DKK|6.5811120918|USD|2020-06-05|2020-06-07 01:00:02.134225
HUF|304.1659311562|USD|2020-06-05|2020-06-07 01:00:02.134229
CZK|23.4677846425|USD|2020-06-05|2020-06-07 01:00:02.134233
GBP|0.7894792586|USD|2020-06-05|2020-06-07 01:00:02.134246
RON|4.2702559576|USD|2020-06-05|2020-06-07 01:00:02.134250
SEK|9.2012356575|USD|2020-06-05|2020-06-07 01:00:02.134254
IDR|14018.0052956752|USD|2020-06-05|2020-06-07 01:00:02.134258
INR|75.5781112092|USD|2020-06-05|2020-06-07 01:00:02.134262
BRL|5.059929391|USD|2020-06-05|2020-06-07 01:00:02.134266
RUB|68.6809355693|USD|2020-06-05|2020-06-07 01:00:02.134270
HRK|6.6827007944|USD|2020-06-05|2020-06-07 01:00:02.134273
JPY|109.2409532215|USD|2020-06-05|2020-06-07 01:00:02.134277
THB|31.4651368049|USD|2020-06-05|2020-06-07 01:00:02.134281
CHF|0.9590467785|USD|2020-06-05|2020-06-07 01:00:02.134285
EUR|0.8826125331|USD|2020-06-05|2020-06-07 01:00:02.134288
MYR|4.2669902913|USD|2020-06-05|2020-06-07 01:00:02.134292
BGN|1.7262135922|USD|2020-06-05|2020-06-07 01:00:02.134296
TRY|6.7737864078|USD|2020-06-05|2020-06-07 01:00:02.134299
CNY|7.0917034422|USD|2020-06-05|2020-06-07 01:00:02.134303
NOK|9.3030008826|USD|2020-06-05|2020-06-07 01:00:02.134307
NZD|1.5350397176|USD|2020-06-05|2020-06-07 01:00:02.134311
ZAR|16.8422771403|USD|2020-06-05|2020-06-07 01:00:02.134314
USD|1.0|USD|2020-06-05|2020-06-07 01:00:02.134318
MXN|21.7533980583|USD|2020-06-05|2020-06-07 01:00:02.134322
SGD|1.392321271|USD|2020-06-05|2020-06-07 01:00:02.134326
AUD|1.4322153575|USD|2020-06-05|2020-06-07 01:00:02.134330
ILS|3.4573698147|USD|2020-06-05|2020-06-07 01:00:02.134333
KRW|1205.2691968226|USD|2020-06-05|2020-06-07 01:00:02.134337
PLN|3.9210061783|USD|2020-06-05|2020-06-07 01:00:02.134341
CAD|1.3448367167|USD|2020-06-05|2020-06-07 02:01:58.071557
HKD|7.7501323919|USD|2020-06-05|2020-06-07 02:01:58.071607
ISK|131.4210061783|USD|2020-06-05|2020-06-07 02:01:58.071628
PHP|49.8296557811|USD|2020-06-05|2020-06-07 02:01:58.071648
